Time,Day,Hour,K_Value
2023-01-02 00:00,Monday,0,1
2023-01-02 01:00,Monday,1,1
2023-01-02 02:00,Monday,2,1
2023-01-02 03:00,Monday,3,1
2023-01-02 04:00,Monday,4,1
2023-01-02 05:00,Monday,5,1
2023-01-02 06:00,Monday,6,1
2023-01-02 07:00,Monday,7,1
2023-01-02 08:00,Monday,8,1
2023-01-02 09:00,Monday,9,1
2023-01-02 10:00,Monday,10,1
2023-01-02 11:00,Monday,11,2
2023-01-02 12:00,Monday,12,3
2023-01-02 13:00,Monday,13,3
2023-01-02 14:00,Monday,14,3
2023-01-02 15:00,Monday,15,3
2023-01-02 16:00,Monday,16,3
2023-01-02 17:00,Monday,17,3
2023-01-02 18:00,Monday,18,2
2023-01-02 19:00,Monday,19,1
2023-01-02 20:00,Monday,20,2
2023-01-02 21:00,Monday,21,3
2023-01-02 22:00,Monday,22,2
2023-01-02 23:00,Monday,23,1
2023-01-03 00:00,Tuesday,0,2
2023-01-03 01:00,Tuesday,1,2
2023-01-03 02:00,Tuesday,2,2
2023-01-03 03:00,Tuesday,3,2
2023-01-03 04:00,Tuesday,4,1
2023-01-03 05:00,Tuesday,5,1
2023-01-03 06:00,Tuesday,6,1
2023-01-03 07:00,Tuesday,7,1
2023-01-03 08:00,Tuesday,8,2
2023-01-03 09:00,Tuesday,9,2
2023-01-03 10:00,Tuesday,10,2
2023-01-03 11:00,Tuesday,11,2
2023-01-03 12:00,Tuesday,12,2
2023-01-03 13:00,Tuesday,13,2
2023-01-03 14:00,Tuesday,14,2
2023-01-03 15:00,Tuesday,15,2
2023-01-03 16:00,Tuesday,16,2
2023-01-03 17:00,Tuesday,17,1
2023-01-03 18:00,Tuesday,18,1
2023-01-03 19:00,Tuesday,19,1
2023-01-03 20:00,Tuesday,20,2
2023-01-03 21:00,Tuesday,21,2
2023-01-03 22:00,Tuesday,22,1
2023-01-03 23:00,Tuesday,23,1
2023-01-04 00:00,Wednesday,0,2
2023-01-04 01:00,Wednesday,1,3
2023-01-04 02:00,Wednesday,2,3
2023-01-04 03:00,Wednesday,3,2
2023-01-04 04:00,Wednesday,4,1
2023-01-04 05:00,Wednesday,5,2
2023-01-04 06:00,Wednesday,6,3
2023-01-04 07:00,Wednesday,7,3
2023-01-04 08:00,Wednesday,8,3
2023-01-04 09:00,Wednesday,9,3
2023-01-04 10:00,Wednesday,10,3
2023-01-04 11:00,Wednesday,11,3
2023-01-04 12:00,Wednesday,12,4
2023-01-04 13:00,Wednesday,13,3
2023-01-04 14:00,Wednesday,14,3
2023-01-04 15:00,Wednesday,15,3
2023-01-04 16:00,Wednesday,16,3
2023-01-04 17:00,Wednesday,17,3
2023-01-04 18:00,Wednesday,18,3
2023-01-04 19:00,Wednesday,19,3
2023-01-04 20:00,Wednesday,20,3
2023-01-04 21:00,Wednesday,21,3
2023-01-04 22:00,Wednesday,22,4
2023-01-04 23:00,Wednesday,23,4
2023-01-05 00:00,Thursday,0,4
2023-01-05 01:00,Thursday,1,3
2023-01-05 02:00,Thursday,2,2
2023-01-05 03:00,Thursday,3,2
2023-01-05 04:00,Thursday,4,2
2023-01-05 05:00,Thursday,5,3
2023-01-05 06:00,Thursday,6,3
2023-01-05 07:00,Thursday,7,3
2023-01-05 08:00,Thursday,8,4
2023-01-05 09:00,Thursday,9,4
2023-01-05 10:00,Thursday,10,4
2023-01-05 11:00,Thursday,11,4
2023-01-05 12:00,Thursday,12,4
2023-01-05 13:00,Thursday,13,4
2023-01-05 14:00,Thursday,14,4
2023-01-05 15:00,Thursday,15,4
2023-01-05 16:00,Thursday,16,4
2023-01-05 17:00,Thursday,17,5
2023-01-05 18:00,Thursday,18,5
2023-01-05 19:00,Thursday,19,5
2023-01-05 20:00,Thursday,20,5
2023-01-05 21:00,Thursday,21,6
2023-01-05 22:00,Thursday,22,5
2023-01-05 23:00,Thursday,23,4
2023-01-06 00:00,Friday,0,4
2023-01-06 01:00,Friday,1,5
2023-01-06 02:00,Friday,2,5
2023-01-06 03:00,Friday,3,6
2023-01-06 04:00,Friday,4,6
2023-01-06 05:00,Friday,5,5
2023-01-06 06:00,Friday,6,4
2023-01-06 07:00,Friday,7,4
2023-01-06 08:00,Friday,8,5
2023-01-06 09:00,Friday,9,5
2023-01-06 10:00,Friday,10,6
2023-01-06 11:00,Friday,11,6
2023-01-06 12:00,Friday,12,5
2023-01-06 13:00,Friday,13,5
2023-01-06 14:00,Friday,14,5
2023-01-06 15:00,Friday,15,5
2023-01-06 16:00,Friday,16,5
2023-01-06 17:00,Friday,17,5
2023-01-06 18:00,Friday,18,5
2023-01-06 19:00,Friday,19,5
2023-01-06 20:00,Friday,20,5
2023-01-06 21:00,Friday,21,5
2023-01-06 22:00,Friday,22,5
2023-01-06 23:00,Friday,23,4
2023-01-07 00:00,Saturday,0,5
2023-01-07 01:00,Saturday,1,5
2023-01-07 02:00,Saturday,2,6
2023-01-07 03:00,Saturday,3,6
2023-01-07 04:00,Saturday,4,6
2023-01-07 05:00,Saturday,5,7
2023-01-07 06:00,Saturday,6,7
2023-01-07 07:00,Saturday,7,6
2023-01-07 08:00,Saturday,8,5
2023-01-07 09:00,Saturday,9,5
2023-01-07 10:00,Saturday,10,6
2023-01-07 11:00,Saturday,11,7
2023-01-07 12:00,Saturday,12,7
2023-01-07 13:00,Saturday,13,7
2023-01-07 14:00,Saturday,14,6
2023-01-07 15:00,Saturday,15,6
2023-01-07 16:00,Saturday,16,7
2023-01-07 17:00,Saturday,17,8
2023-01-07 18:00,Saturday,18,8
2023-01-07 19:00,Saturday,19,8
2023-01-07 20:00,Saturday,20,7
2023-01-07 21:00,Saturday,21,6
2023-01-07 22:00,Saturday,22,7
2023-01-07 23:00,Saturday,23,8
2023-01-08 00:00,Sunday,0,7
2023-01-08 01:00,Sunday,1,7
2023-01-08 02:00,Sunday,2,7
2023-01-08 03:00,Sunday,3,6
2023-01-08 04:00,Sunday,4,7
2023-01-08 05:00,Sunday,5,8
2023-01-08 06:00,Sunday,6,7
2023-01-08 07:00,Sunday,7,7
2023-01-08 08:00,Sunday,8,6
2023-01-08 09:00,Sunday,9,7
2023-01-08 10:00,Sunday,10,7
2023-01-08 11:00,Sunday,11,8
2023-01-08 12:00,Sunday,12,7
2023-01-08 13:00,Sunday,13,8
2023-01-08 14:00,Sunday,14,8
2023-01-08 15:00,Sunday,15,8
2023-01-08 16:00,Sunday,16,8
2023-01-08 17:00,Sunday,17,8
2023-01-08 18:00,Sunday,18,9
2023-01-08 19:00,Sunday,19,8
2023-01-08 20:00,Sunday,20,8
2023-01-08 21:00,Sunday,21,8
2023-01-08 22:00,Sunday,22,8
2023-01-08 23:00,Sunday,23,8
