Time,Day,Hour,K_Value
2023-01-04 21:13,Wednesday,21,1
2023-01-05 01:33,Thursday,1,1
2023-01-05 05:21,Thursday,5,1
2023-01-05 08:08,Thursday,8,1
2023-01-05 09:42,Thursday,9,1
2023-01-05 10:54,Thursday,10,1
2023-01-05 12:01,Thursday,12,1
2023-01-05 13:29,Thursday,13,1
2023-01-05 15:19,Thursday,15,1
2023-01-05 17:42,Thursday,17,1
2023-01-05 21:42,Thursday,21,1
2023-01-06 01:37,Friday,1,1
2023-01-06 05:23,Friday,5,1
2023-01-06 07:57,Friday,7,1
2023-01-06 09:14,Friday,9,1
2023-01-06 10:26,Friday,10,1
2023-01-06 11:38,Friday,11,1
2023-01-06 12:58,Friday,12,1
2023-01-06 14:49,Friday,14,1
2023-01-06 17:09,Friday,17,1
2023-01-06 20:23,Friday,20,1
2023-01-06 23:36,Friday,23,1
2023-01-07 03:37,Saturday,3,1
2023-01-07 06:33,Saturday,6,1
2023-01-07 08:16,Saturday,8,1
2023-01-07 09:28,Saturday,9,1
2023-01-07 10:42,Saturday,10,1
2023-01-07 11:59,Saturday,11,1
2023-01-07 13:24,Saturday,13,1
2023-01-07 15:11,Saturday,15,1
2023-01-07 17:28,Saturday,17,1
2023-01-07 20:16,Saturday,20,1
2023-01-07 23:16,Saturday,23,1
2023-01-08 02:08,Sunday,2,1
2023-01-08 04:54,Sunday,4,1
2023-01-08 07:45,Sunday,7,1
2023-01-08 09:21,Sunday,9,1
2023-01-08 10:26,Sunday,10,1
2023-01-08 11:47,Sunday,11,1
2023-01-08 12:49,Sunday,12,1
2023-01-08 14:04,Sunday,14,1
2023-01-08 15:27,Sunday,15,1
2023-01-08 17:11,Sunday,17,1
2023-01-08 19:35,Sunday,19,1
2023-01-08 22:45,Sunday,22,1
